table_name,column_name,data_type,is_nullable,column_default
audit_logs,id,uuid,NO,gen_random_uuid()
audit_logs,org_id,uuid,YES,null
audit_logs,user_id,uuid,YES,null
audit_logs,action_type,text,NO,null
audit_logs,entity_type,text,YES,null
audit_logs,entity_id,uuid,YES,null
audit_logs,description,text,YES,null
audit_logs,metadata,jsonb,YES,null
audit_logs,ip_address,inet,YES,null
audit_logs,created_at,timestamp with time zone,NO,now()
cactus_invoice_line_items,id,uuid,NO,gen_random_uuid()
cactus_invoice_line_items,cactus_invoice_id,uuid,NO,null
cactus_invoice_line_items,invoice_line_item_id,uuid,NO,null
cactus_invoice_line_items,org_id,uuid,NO,null
cactus_invoice_line_items,final_billed_rate,numeric,NO,null
cactus_invoice_line_items,created_at,timestamp with time zone,NO,now()
cactus_invoices,id,uuid,NO,gen_random_uuid()
cactus_invoices,org_id,uuid,NO,null
cactus_invoices,billing_period_start,date,NO,null
cactus_invoices,billing_period_end,date,NO,null
cactus_invoices,total_amount,numeric,NO,null
cactus_invoices,due_date,date,NO,null
cactus_invoices,status,USER-DEFINED,NO,'UNPAID'::invoice_status_enum
cactus_invoices,paid_at,timestamp with time zone,YES,null
cactus_invoices,qbo_invoice_id,text,YES,null
cactus_invoices,payment_attempt_count,integer,NO,0
cactus_invoices,last_payment_error,text,YES,null
cactus_invoices,created_at,timestamp with time zone,NO,now()
cactus_invoices,updated_at,timestamp with time zone,NO,now()
carrier_charge_routing,id,uuid,NO,gen_random_uuid()
carrier_charge_routing,carrier_code,USER-DEFINED,NO,null
carrier_charge_routing,charge_classification_code,text,YES,null
carrier_charge_routing,charge_category_code,text,YES,null
carrier_charge_routing,charge_category_detail_code,text,YES,null
carrier_charge_routing,charge_description,text,YES,null
carrier_charge_routing,cactus_field,text,YES,null
carrier_charge_routing,is_skip,boolean,NO,false
carrier_charge_routing,is_dimension_row,boolean,NO,false
carrier_charge_routing,is_adjustment,boolean,NO,false
carrier_charge_routing,notes,text,YES,null
carrier_charge_routing,is_active,boolean,NO,true
carrier_charge_routing,created_at,timestamp with time zone,NO,now()
carrier_charge_routing,updated_at,timestamp with time zone,NO,now()
carrier_invoice_formats,id,uuid,NO,gen_random_uuid()
carrier_invoice_formats,carrier_code,USER-DEFINED,NO,null
carrier_invoice_formats,format_type,text,NO,null
carrier_invoice_formats,column_position,integer,NO,null
carrier_invoice_formats,column_letter,text,NO,null
carrier_invoice_formats,header_name,text,NO,null
carrier_invoice_formats,is_active,boolean,NO,true
carrier_invoice_formats,effective_date,date,NO,CURRENT_DATE
carrier_invoice_formats,deprecated_date,date,YES,null
carrier_invoice_formats,notes,text,YES,null
carrier_invoice_formats,created_at,timestamp with time zone,NO,now()
carrier_invoice_mappings,id,uuid,NO,gen_random_uuid()
carrier_invoice_mappings,carrier_code,USER-DEFINED,NO,null
carrier_invoice_mappings,raw_header_name,text,NO,null
carrier_invoice_mappings,cactus_standard_field,text,NO,null
carrier_invoice_mappings,effective_date,date,NO,CURRENT_DATE
carrier_invoice_mappings,deprecated_date,date,YES,null
carrier_invoice_mappings,notes,text,YES,null
carrier_invoice_mappings,ai_suggested,boolean,NO,false
carrier_invoice_mappings,ai_confidence_score,numeric,YES,null
carrier_invoice_mappings,created_at,timestamp with time zone,NO,now()
carrier_invoices,id,uuid,NO,gen_random_uuid()
carrier_invoices,org_id,uuid,YES,null
carrier_invoices,carrier_code,USER-DEFINED,NO,null
carrier_invoices,org_carrier_account_id,uuid,YES,null
carrier_invoices,invoice_file_name,text,NO,null
carrier_invoices,invoice_period_start,date,YES,null
carrier_invoices,invoice_period_end,date,YES,null
carrier_invoices,status,USER-DEFINED,NO,'UPLOADED'::carrier_invoice_status_enum
carrier_invoices,total_carrier_amount,numeric,YES,null
carrier_invoices,total_line_items,integer,YES,null
carrier_invoices,matched_line_items,integer,YES,0
carrier_invoices,flagged_line_items,integer,YES,0
carrier_invoices,uploaded_by,uuid,YES,null
carrier_invoices,ai_processing_notes,text,YES,null
carrier_invoices,processed_at,timestamp with time zone,YES,null
carrier_invoices,created_at,timestamp with time zone,NO,now()
carrier_invoices,updated_at,timestamp with time zone,NO,now()
carrier_invoices,file_path,text,YES,null
carrier_invoices,raw_headers,jsonb,YES,null
carrier_invoices,invoice_format,text,YES,'SUMMARY'::text
carrier_invoices,has_unmapped_charges,boolean,NO,false
carrier_invoices,unmapped_charge_types,jsonb,YES,null
invoice_line_items,id,uuid,NO,gen_random_uuid()
invoice_line_items,carrier_invoice_id,uuid,NO,null
invoice_line_items,org_id,uuid,YES,null
